"Color","Date","Id","Images","Model","Profile","Registration Number","Vin"
"BLACK","2022-07-01 12:48:49","0gnjyGrDPfXFDhvuUk3Dq8ub0JM2-R","https://firebasestorage.googleapis.com/v0/b/flip-delivery.appspot.com/o/images%2F2022-07-01%2012%3A48%3A42.974?alt=media&token=196713cd-524e-4f55-aff2-3e4f11681c5d","BAJAJ","profiles/0gnjyGrDPfXFDhvuUk3Dq8ub0JM2-R","M-22-AS 668","N/A"
"BLACK","2022-09-06 11:09:25","2OUdT0hJxCcEYFuBioys69UvnHg1-R","https://firebasestorage.googleapis.com/v0/b/flip-delivery.appspot.com/o/images%2F2022-09-06%2011%3A09%3A12.851?alt=media&token=9f0402b0-0085-4579-8613-c5df2c0d2f0f,https://firebasestorage.googleapis.com/v0/b/flip-delivery.appspot.com/o/images%2F2022-09-06%2011%3A09%3A22.034?alt=media&token=cfb2f326-de03-4674-b999-250601030817","BAJAJ BOXER","profiles/2OUdT0hJxCcEYFuBioys69UvnHg1-R","M-22-AW 1468","N/A"
"BLACK","2022-08-25 10:50:10","2TqdNHbEiOeXMgA1hFupqGrVUC93-R","https://firebasestorage.googleapis.com/v0/b/flip-delivery.appspot.com/o/images%2F2022-08-25%2010%3A49%3A59.227?alt=media&token=d9b635a4-c29c-470e-8cc2-74cb95b33b7e","APSONIC","profiles/2TqdNHbEiOeXMgA1hFupqGrVUC93-R","M-21-AC 1620","N/A"
"BLACK","2023-01-11 15:21:13","2oCYkCFN7qftY2LT2KMaIr65KMd2-R","https://firebasestorage.googleapis.com/v0/b/flip-delivery.appspot.com/o/images%2F2023-01-11%2015%3A21%3A08.689?alt=media&token=4599be59-d288-4278-be67-8c295f2e4c0a","ROYAL ","profiles/2oCYkCFN7qftY2LT2KMaIr65KMd2-R","M-21 GW 8329","N/A"
"BLUE","2022-08-08 11:39:39","38jCcBFeNOM7ALPxS3WZzaDh8wW2-R","https://firebasestorage.googleapis.com/v0/b/flip-delivery.appspot.com/o/images%2F2022-08-08%2011%3A39%3A33.770?alt=media&token=37216b66-64e3-4fc2-8b12-306a5bf49a20","ROYAL","profiles/38jCcBFeNOM7ALPxS3WZzaDh8wW2-R","M-20-GE 8654","N/A"
"BLACK","2022-08-24 16:45:48","47m1VZb295N0RaslBj3pD1Wi0v83-R","https://firebasestorage.googleapis.com/v0/b/flip-delivery.appspot.com/o/images%2F2022-08-24%2016%3A45%3A40.698?alt=media&token=04065a65-065c-41e1-8129-62556b95e6e2","ROYAL","profiles/47m1VZb295N0RaslBj3pD1Wi0v83-R","M-22- GR-4674","N/A"
"BLACK","2022-12-06 08:53:34","5NYo9tt3sCdPYdqmUVxvqfUomXO2-R","https://firebasestorage.googleapis.com/v0/b/flip-delivery.appspot.com/o/images%2F2022-12-06%2008%3A53%3A23.550?alt=media&token=a9a62698-c8dc-4d01-99b9-5780ef78b6ba","BAJAJ BOXER","profiles/5NYo9tt3sCdPYdqmUVxvqfUomXO2-R","M-22-AW 771","N/A"
"BLACK","2022-08-05 08:57:32","6AO46rO7dpYq7v2O5gJtJZ4QXi83-R","https://firebasestorage.googleapis.com/v0/b/flip-delivery.appspot.com/o/images%2F2022-08-05%2008%3A57%3A23.720?alt=media&token=b1bdfa6d-5ebb-4997-8fd2-c67237ff0a8d","BAJAJ","profiles/6AO46rO7dpYq7v2O5gJtJZ4QXi83-R","M-22-AS 6670","N/A"
"BLUE","2022-06-22 09:07:21","6g1hRGa1g7eiuZJ4XUY2mMifwXI2-R","https://firebasestorage.googleapis.com/v0/b/flip-delivery.appspot.com/o/images%2F2022-06-22%2009%3A07%3A13.757?alt=media&token=6b61e444-877f-4af6-b84e-28c9d260708d","TOP SAFARI","profiles/6g1hRGa1g7eiuZJ4XUY2mMifwXI2-R","M-22-AS 8240","N/A"
"BLUE","2022-08-17 16:58:50","7K9hfpUiPzNuQ4xp9ty1NEdsYSW2-R","https://firebasestorage.googleapis.com/v0/b/flip-delivery.appspot.com/o/images%2F2022-08-17%2016%3A58%3A34.544?alt=media&token=440adf6f-e95c-44ac-b310-4ba2894485fe","ROYAL","profiles/7K9hfpUiPzNuQ4xp9ty1NEdsYSW2-R","M-20-GG 587","N/A"
