ACC MANAGER,ARTWORK,Sum of CONTRACT SUM,MONTH,NAME OF CLIENT,REMARKS
ERNEST,,GH₵ 52700.00,February,Emmavee,New
ERNEST,,GH₵ 7200.00,February,Intergrity,Renewal
ERNEST,,GH₵ 1200.00,February,Manuel Ministries,New
ERNEST,,GH₵ 33000.00,February,Ogilvy,New
ERNEST,,GH₵ 4200.00,February,Promise Broadcasting,Renewal
ERNEST,,GH₵ 1600.00,February,Sammy,New
ERNEST,,GH₵ 8000.00,February,Sharpman,New
ERNEST,,GH₵ 7200.00,February,Wigal,Renewal
ERNEST,Boutique,GH₵ 3600.00,January,Linarks,Renewal
ERNEST,Builginf Materials,GH₵ 9000.00,January,Nak Global,New
ERNEST,Fashion,GH₵ 4200.00,March,Linarks,Renewal
ERNEST,Fido Money,GH₵ 8400.00,March,Fido,New
ERNEST,Funeral,GH₵ 1500.00,March,Emma,New
ERNEST,Funeral,GH₵ 1000.00,March,Kojo,New
ERNEST,Investment,GH₵ 4800.00,January,Integrity,Renewal
ERNEST,Investment,GH₵ 4800.00,March,Intergrity,Renewal
ERNEST,Money,GH₵ 29400.00,January,Fido,New
ERNEST,Oyerepa,GH₵ 4200.00,January,Promise Broadcasting,New
ERNEST,Oyerepa,GH₵ 2700.00,March,Promise Broadcasting,Renewal
ERNEST,Peak,GH₵ 33000.00,March,Ogilvy,Renewal
ERNEST,Sundura,GH₵ 15000.00,January,Grand Imperial,New
ERNEST,UT,GH₵ 2400.00,March,Fame Interactive,New
GIFTY,,GH₵ 45600.00,February,CD Multimedia,New
GIFTY,,GH₵ 41600.00,February,Tele Media,Renewal
GIFTY,Air freshners,GH₵ 46200.00,January,Airpro,Renewal
GIFTY,Award,GH₵ 1500.00,March,Forklex,New
GIFTY,Café,GH₵ 4500.00,January,Fema Resto,New
GIFTY,Church,GH₵ 8300.00,January,Calvary Redempion,New
GIFTY,Church,GH₵ 1400.00,January,Evans,New
GIFTY,Funeral,GH₵ 3200.00,March,Dr Marfo,New
GIFTY,Herbal,GH₵ 9120.00,March,Sermens,New
GIFTY,Ipad,GH₵ 1500.00,January,Kotbal,New
GIFTY,Poultry feed,GH₵ 9600.00,March,Maridav,Renewal
GIFTY,Printex,GH₵ 9000.00,March,CD Multimedia,Renewal
GIFTY,Restaurant,GH₵ 10800.00,January,The crush,Renewal
GIFTY,Sintex,GH₵ 14400.00,March,Sintex,Renewal
PETER,,GH₵ 3900.00,February,Brand renaissance,New
PETER,,GH₵ 12000.00,February,Citivalue,Renewal
PETER,,GH₵ 27300.00,February,Digicraft,New
PETER,,GH₵ 3200.00,February,Highstreet,New
PETER,,GH₵ 28800.00,February,Media Reach,New
PETER,,GH₵ 11600.00,February,Primus,New
PETER,Alive soap,GH₵ 70214.00,February,Media Reach,New
